Lønnstrinn;Pr. år;Pr. mnd(1);Pr. time(2)
22;353 251;29 438;183,98
23;357 506;29 792;186,20
24;361 353;30 113;188,20
25;365 686;30 474;190,46
26;370 047;30 837;192,73
27;374 548;31 212;195,08
28;380 171;31 681;198,01
29;386 025;32 169;201,05
30;391 886;32 657;204,11
31;396 720;33 060;206,63
32;402 924;33 577;209,86
33;409 128;34 094;213,09
34;415 360;34 613;216,33
35;421 677;35 140;219,62
36;429 301;35 775;223,59
37;436 929;36 411;227,57
38;442 459;36 872;230,45
39;450 270;37 523;234,52
40;458 120;38 177;238,60
41;466 144;38 845;242,78
42;474 008;39 501;246,88
43;481 868;40 156;250,97
44;489 931;40 828;255,17
45;497 987;41 499;259,37
46;504 765;42 064;262,90
47;514 182;42 848;267,8
48;523 611;43 634;272,71
49;533 040;44 420;277,63
50;542 851;45 238;282,74
51;552 713;46 059;287,87
52;562 984;46 915;293,22
53;573 253;47 771;298,57
54;583 929;48 661;304,13
55;594 607;49 551;309,69
56;605 702;50 475;315,47
57;616 800;51 400;321,25
58;627 998;52 333;327,08
59;639 193;53 266;332,91
60;650 814;54 234;338,97
61;662 436;55 203;345,02
62;673 955;56 163;351,02
63;685 680;57 140;357,12
64;697 616;58 135;363,34
65;709 766;59 147;369,67
66;722 135;60 178;376,11
67;734 730;61 227;382,67
68;747 551;62 296;389,35
69;759 935;63 328;395,8
70;772 321;64 360;402,25
71;784 533;65 378;408,61
72;796 749;66 396;414,97
73;808 965;67 414;421,34
74;821 179;68 432;427,70
75;833 394;69 449;434,06
76;845 608;70 467;440,42
77;857 823;71 485;446,78
78;870 039;72 503;453,15
79;882 255;73 521;459,51
80;894 470;74 539;465,87
81;906 685;75 557;472,23
82;918 899;76 575;478,59
83;931 113;77 593;484,95
84;943 328;78 611;491,32
85;955 543;79 629;497,68
86;967 758;80 646;504,04
